window_size,classifier,accuracy,train_time
50,k-NN,0.9515335986888317,4.440246105194092
50,SVM,0.930929524701475,21.967150926589966
50,Random Forest,0.9498165925232186,2.799077033996582
50,MLP,0.9557480683680637,17.607908964157104
100,k-NN,0.9704820222954939,0.10153603553771973
100,SVM,0.9436332234259696,3.8444299697875977
100,Random Forest,0.972052127492542,0.9371564388275146
100,MLP,0.9665567593028733,6.45437479019165
150,k-NN,0.975609756097561,0.04519200325012207
150,SVM,0.9408003788775752,1.6175384521484375
150,Random Forest,0.9775041439734786,0.6804525852203369
150,MLP,0.9746625621596022,6.038127183914185
200,k-NN,0.9771137952956135,0.02798318862915039
200,SVM,0.94723458359822,0.8949739933013916
200,Random Forest,0.9764780673871583,0.588097333908081
200,MLP,0.9821996185632549,5.327719211578369
250,k-NN,0.9716453674121406,0.0187685489654541
250,SVM,0.9416932907348243,0.6778807640075684
250,Random Forest,0.9784345047923323,0.5263075828552246
250,MLP,0.9744408945686901,4.433196783065796
300,k-NN,0.9614085865894838,0.019388914108276367
300,SVM,0.9358417752050169,0.46540307998657227
300,Random Forest,0.9696092619392185,0.4096672534942627
300,MLP,0.9604438012542209,2.166400671005249
400,k-NN,0.9551073519843851,0.011694908142089844
400,SVM,0.9290826284970722,0.3126506805419922
400,Random Forest,0.9752765126870527,0.408217191696167
400,MLP,0.9564085881587508,1.7536709308624268
